2025-08-05T17:36:14.308574 - 
Updating Jekyll layouts...
2025-08-05T17:36:14.309105 - ✅ Updated layout: practice-area.html
2025-08-05T17:36:14.309474 - ✅ Updated layout: default.html
2025-08-05T17:36:14.309753 - ✅ Updated layout: default-optimized.html
2025-08-05T17:36:14.310425 - ✅ Updated layout: modern-default.html
2025-08-05T17:36:14.310454 - 
Migrating 1322 pages without layout...
2025-08-05T17:36:14.344154 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/forensic-economics/concord-nh-forensic-economist.html
2025-08-05T17:36:14.344553 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/forensic-economics/westerly-ri-forensic-economist.html
2025-08-05T17:36:14.344861 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/forensic-economics/taunton-ma-forensic-economist.html
2025-08-05T17:36:14.345152 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/forensic-economics/newington-ct-forensic-economist.html
2025-08-05T17:36:14.345440 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/forensic-economics/east-hartford-ct-forensic-economist.html
2025-08-05T17:36:14.345726 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/forensic-economics/west-haven-ct-forensic-economist.html
2025-08-05T17:36:14.346259 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/forensic-economics/portland-me-forensic-economist.html
2025-08-05T17:36:14.346557 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/forensic-economics/bennington-vt-forensic-economist.html
2025-08-05T17:36:14.346900 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/forensic-economics/south-burlington-vt-forensic-economist.html
2025-08-05T17:36:14.347314 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/forensic-economics/weymouth-ma-forensic-economist.html
2025-08-05T17:36:14.347741 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/forensic-economics/newton-ma-forensic-economist.html
2025-08-05T17:36:14.348060 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/forensic-economics/saco-me-forensic-economist.html
2025-08-05T17:36:14.348376 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/forensic-economics/greenwich-ct-forensic-economist.html
2025-08-05T17:36:14.348850 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/forensic-economics/providence-ri-forensic-economist.html
2025-08-05T17:36:14.349177 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/forensic-economics/danbury-ct-forensic-economist.html
2025-08-05T17:36:14.349692 - ✅ Migrated: /Users/chrisskerritt/SEC/./locations/forensic-economics/beverly-ma-forensic-economist.html
